Id,Label,timeset,topgenre,Degree,modularity_class,componentnumber
1006,Alden Ehrenreich,,Drama,6,3,0
1047,Olivia Colman,,Drama,6,3,0
1049,Andrew Scott,,Drama,13,3,0
1056,Annie Rose Buckley,,Biography,3,3,0
1065,Forest Whitaker,,Drama,12,3,0
1066,Jane Fonda,,Drama,6,3,0
1110,F. Murray Abraham,,Adventure,3,3,0
1278,Jessica Barden,,Comedy,3,3,0
1294,Jessica Brown Findlay,,Drama,5,3,0
1296,Wei Tang,,Crime,3,3,0
1297,Leehom Wang,,Crime,3,3,0
1331,Harvey Keitel,,Comedy,3,3,0
1341,Jennifer Lopez,,Mystery,6,3,0
1342,Ryan Guzman,,Mystery,6,3,0
1343,Kristin Chenoweth,,Mystery,3,3,0
1344,John Corbett,,Mystery,6,3,0
1392,Jim Parsons,,Animation,3,3,0
1393,Steve Martin,,Animation,3,3,0
1482,Hermione Corfield,,Adventure,3,3,0
1483,Addison Timlin,,Adventure,3,3,0
1484,Joely Richardson,,Adventure,3,3,0
1485,Jeremy Irvine,,Drama,6,3,0
1560,Stephen Henderson,,Drama,3,3,0
1561,Jovan Adepo,,Drama,3,3,0
1600,Florence Clery,,Drama,3,3,0
1652,Tyler Hoechlin,,Comedy,3,3,0
1742,Tom Costello,,Biography,3,3,0
1743,Jo Hartley,,Biography,3,3,0
1797,Fionn O'Shea,,Drama,3,3,0
1798,Nicholas Galitzine,,Drama,3,3,0
1799,Moe Dunford,,Drama,3,3,0
1966,Hayden Panettiere,,Drama,3,3,0
1967,Catalina Sandino Moreno,,Drama,3,3,0
1972,Nia Vardalos,,Comedy,3,3,0
1973,Michael Constantine,,Comedy,3,3,0
1974,Lainie Kazan,,Comedy,3,3,0
85,Kang-ho Song,,Drama,6,4,0
86,Hee-Bong Byun,,Comedy,3,4,0
87,Hae-il Park,,Comedy,3,4,0
88,Doona Bae,,Comedy,3,4,0
96,Elijah Wood,,Animation,6,4,0
97,Brittany Murphy,,Animation,3,4,0
117,Sylvester Stallone,,Action,19,4,0
118,Antonio Tarver,,Drama,3,4,0
119,Milo Ventimiglia,,Drama,3,4,0
120,Burt Young,,Drama,3,4,0
165,John Francis Daley,,Comedy,3,4,5
166,Austin Pendleton,,Comedy,3,4,5
167,Colleen Camp,,Comedy,3,4,5
168,Neil Flynn,,Comedy,3,4,5
255,Michelle Yeoh,,Adventure,9,4,0
